continent,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Africa,1884,,130848603,,,,0.022,,,0.005,,,0.022,0.005,,,,,0.022,0.022,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,
Africa,1885,,131563803,,,,0.037,0.015,66.67,0.008,,,0.037,0.008,,,,,0.059,0.059,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,
Africa,1886,,132284841,,,,0.048,0.011,30,0.01,,,0.048,0.01,,,,,0.106,0.106,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,
Africa,1887,,133011765,,,,0.048,0,0,0.01,,,0.048,0.01,,,,,0.154,0.154,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,
Africa,1888,,133744628,,,,0.081,0.033,69.23,0.017,,,0.081,0.017,,,,,0.234,0.234,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0,0,,,,,,,,,,,,
Africa,1889,,134394419,,,,0.132,0.051,63.64,0.028,,,0.132,0.028,,,,,0.366,0.366,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0,0,,,,,,,,,,,,
Africa,1890,,135129385,,,,0.297,0.165,125,0.062,,,0.297,0.062,,,,,0.663,0.663,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,0,0,,,,,,,,,,,,
Africa,1891,,135445399,,,,0.297,0,0,0.062,,,0.297,0.062,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,0,0,,,,,,,,,,,,
Africa,1892,,135846881,,,,0.48,0.183,61.73,0.099,,,0.48,0.099,,,,,1.44,1.44,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,,0,0,,,,,,,,,,,,
Africa,1893,,136165893,,,,1.799,1.319,274.81,0.366,,,1.799,0.366,,,,,3.239,3.239,,,,,,,,,,,,,,,,,,,,,,,0.13,0.14,,0.01,0.01,,,,,,,,,,,,
Africa,1894,,136491624,,,,2.433,0.634,35.23,0.49,,,2.433,0.49,,,,,5.672,5.672,,,,,,,,,,,,,,,,,,,,,,,0.17,0.18,,0.02,0.02,,,,,,,,,,,,
Africa,1895,,136824118,,,,3.338,0.905,37.2,0.664,,,3.338,0.664,,,,,9.01,9.01,,,,,,,,,,,,,,,,,,,,,,,0.22,0.23,,0.02,0.03,,,,,,,,,,,,
Africa,1896,,137163427,,,,4.258,0.92,27.55,0.838,,,4.258,0.838,,,,,13.267,13.267,,,,,,,,,,,,,,,,,,,,,,,0.28,0.29,,0.04,0.04,,,,,,,,,,,,
Africa,1897,,137509591,,,,4.778,0.52,12.22,0.929,,,4.778,0.929,,,,,18.045,18.045,,,,,,,,,,,,,,,,,,,,,,,0.3,0.31,,0.05,0.05,,,,,,,,,,,,
Africa,1898,,137862661,,,,6.049,1.271,26.61,1.164,,,6.049,1.164,,,,,24.094,24.094,,,,,,,,,,,,,,,,,,,,,,,0.36,0.37,,0.06,0.06,,,,,,,,,,,,
Africa,1899,,138243556,,,,5.518,-0.531,-8.78,1.048,,,5.518,1.048,,,,,29.612,29.612,,,,,,,,,,,,,,,,,,,,,,,0.3,0.31,,0.07,0.07,,,,,,,,,,,,
